"rules" "support" "confidence" "coverage" "lift" "count"
"32" "{citrus fruit} => {other vegetables}" 0.0128146453089245 0.241082410824108 0.0531546256946715 1.93765395352325 196
"33" "{other vegetables} => {citrus fruit}" 0.0128146453089245 0.102995270625328 0.124419745014711 1.93765395352325 196
"34" "{citrus fruit} => {whole milk}" 0.0128146453089245 0.241082410824108 0.0531546256946715 1.46731216615787 196
"35" "{pastry} => {rolls/buns}" 0.0101994115724093 0.178285714285714 0.05720823798627 1.50739635157546 156
"36" "{pastry} => {}" 0.0202680614579928 0.354285714285714 0.05720823798627 0.659462090787392 310
"37" "{sausage} => {rolls/buns}" 0.0107878391631252 0.178571428571429 0.0604118993135011 1.50981205085683 165
"38" "{sausage} => {other vegetables}" 0.0126185027786858 0.208874458874459 0.0604118993135011 1.6787886749789 193
"39" "{other vegetables} => {sausage}" 0.0126185027786858 0.101418812401471 0.124419745014711 1.6787886749789 193
"40" "{sausage} => {whole milk}" 0.012553121935273 0.207792207792208 0.0604118993135011 1.26469630647904 192
"41" "{sausage} => {}" 0.0131415495259889 0.217532467532468 0.0604118993135011 0.404911657649883 201
"42" "{bottled water} => {soda}" 0.0146453089244851 0.206071757129715 0.0710689767898006 1.83782362991195 224
"43" "{soda} => {bottled water}" 0.0146453089244851 0.130612244897959 0.112128146453089 1.83782362991195 224
"44" "{bottled water} => {}" 0.032167374959137 0.452621895124195 0.0710689767898006 0.842503576235191 492
"45" "{tropical fruit} => {root vegetables}" 0.0109839816933638 0.162790697674419 0.0674730304020922 2.32265272474835 168
"46" "{root vegetables} => {tropical fruit}" 0.0109839816933638 0.156716417910448 0.0700882641386074 2.32265272474835 168
"47" "{tropical fruit} => {other vegetables}" 0.0154952598888526 0.229651162790698 0.0674730304020922 1.84577747497831 237
"48" "{other vegetables} => {tropical fruit}" 0.0154952598888526 0.124540199684708 0.124419745014711 1.84577747497831 237
"49" "{tropical fruit} => {whole milk}" 0.0183066361556064 0.271317829457364 0.0674730304020922 1.65133553583382 280
"50" "{whole milk} => {tropical fruit}" 0.0183066361556064 0.11142061281337 0.164302059496568 1.65133553583382 280
"51" "{tropical fruit} => {}" 0.0106570774762994 0.157945736434109 0.0674730304020922 0.293997814136508 163
"52" "{root vegetables} => {other vegetables}" 0.0253677672441974 0.361940298507463 0.0700882641386074 2.90902620371605 388
"53" "{other vegetables} => {root vegetables}" 0.0253677672441974 0.203888596952181 0.124419745014711 2.90902620371605 388
"54" "{root vegetables} => {whole milk}" 0.0226217718208565 0.322761194029851 0.0700882641386074 1.96443790795327 346
"55" "{whole milk} => {root vegetables}" 0.0226217718208565 0.137684042976522 0.164302059496568 1.96443790795327 346
"56" "{yogurt} => {rolls/buns}" 0.0118993135011442 0.13265306122449 0.0897025171624714 1.12157466635079 182
"57" "{rolls/buns} => {yogurt}" 0.0118993135011442 0.100608070757324 0.1182739457339 1.12157466635079 182
"58" "{yogurt} => {other vegetables}" 0.0158875449493298 0.177113702623907 0.0897025171624714 1.42351764668032 243
"59" "{other vegetables} => {yogurt}" 0.0158875449493298 0.127693116132422 0.124419745014711 1.42351764668032 243
"60" "{yogurt} => {whole milk}" 0.0242562929061785 0.270408163265306 0.0897025171624714 1.64579898811892 371
"61" "{whole milk} => {yogurt}" 0.0242562929061785 0.147632311977716 0.164302059496568 1.64579898811892 371
"62" "{yogurt} => {}" 0.0205295848316443 0.228862973760933 0.0897025171624714 0.426002091234449 314
"63" "{soda} => {rolls/buns}" 0.0142530238640078 0.127113702623907 0.112128146453089 1.07473968028339 218
"64" "{rolls/buns} => {soda}" 0.0142530238640078 0.120508568269762 0.1182739457339 1.07473968028339 218
"65" "{soda} => {}" 0.0577312847335731 0.514868804664723 0.112128146453089 0.958369035821704 883
"66" "{} => {soda}" 0.0577312847335731 0.107460143604722 0.537234390323635 0.958369035821704 883
"67" "{rolls/buns} => {whole milk}" 0.0183066361556064 0.154781647318961 0.1182739457339 0.942055430061084 280
"68" "{whole milk} => {rolls/buns}" 0.0183066361556064 0.11142061281337 0.164302059496568 0.942055430061084 280
"69" "{rolls/buns} => {}" 0.0475972540045767 0.402432283029298 0.1182739457339 0.749081388454803 728
"70" "{other vegetables} => {whole milk}" 0.04086302713305 0.328428796636889 0.124419745014711 1.99893292660614 625
"71" "{whole milk} => {other vegetables}" 0.04086302713305 0.248706725029845 0.164302059496568 1.99893292660614 625
"72" "{other vegetables} => {}" 0.0219025825433148 0.176037834997373 0.124419745014711 0.327674173820715 335
"73" "{whole milk} => {}" 0.0395554102647924 0.24074810982889 0.164302059496568 0.448124904446011 605
